attWidths,avgR2_V1,avgR2_V2,avgR2_V3
1,0.515690939751292,0.588131787590436,0.467480911593486
3,0.554871695638637,0.593642037278759,0.567599605420224
5,0.593939466859374,0.635371812804762,0.502796364196187
7,0.616664288328205,0.600143925108691,0.527627094666364
9,0.647304317165256,0.607272878577788,0.51269610729244
