Base_width1,Base_width2,Base_width3,Base_width4,Base_width5
-0.76913210601409,-0.0172322340115944,-0.0928014997931113,-0.110406006627624,0.0822368399480061
-0.214341074141112,-0.203114630856452,-0.329552506264403,-0.0327291156071717,-0.00822109648516765
-0.788211108779554,-0.235959402804078,-0.611600539836273,-0.146288504671676,-0.517802858217866
-0.103502487784793,-0.176981730840141,-0.227437231120272,-0.233059543042457,-0.342772470820249
-0.372224709108137,-0.142021393424139,-0.33024358951882,-0.0933564070542379,0.220669722007736
