Base_width1,Base_width2,Base_width3,Base_width4
-0.17497309338288,-0.157799948268132,-0.189814193879345,-0.235048230729343
-0.170028786130685,-0.230215669462778,-0.237651392271557,-0.230993138096418
-0.241476225961074,-0.13049323467233,-0.305238455641828,-0.292780600382841
-0.226687918448278,-0.270061958673216,-0.538521369636676,-0.16674948417763
-0.190943242509444,-0.116396858431467,-0.149064551167562,-0.13071216302827
-0.330916721211862,-0.295428239217997,-0.382984359926801,-0.401290379232846
-0.0804971769093473,-0.266427839601738,-0.259476620247659,-0.185586943509595
0.10278342850432,-0.150428133174582,-0.371701281678593,-0.206533522849809
